EntryNum	Species_CN	Species_Latin	Genus_CN	Genus_Latin	Family_CN	Family_Latin	DiseaseName	Viruses	Symptoms	Figures	Description
31	烟草	Nicotiana  tabacum	烟草属(属		茄科	Solanaceae		烟草脉带花叶病; 蛇鞭菊轻斑驳病毒; tomato necrotic stunt virus; 烟草轻绿花叶病毒; tobacco   rattle   virus; tobacco vein banding mosaic virus; tobacco etch virus; 番茄黄化曲叶病毒; tobacco   leaf curl virus; gayfeather mild   mottle virus; tobacco   ringspot virus; tomato   yellow  leaf  curl  virus; shallot yellow stripe   virus; ramie mosaic virus; tomato  mosaic  virus		1	烟草是一年生或有限多年生草本，叶片形状多样，有长圆状披针形、披针形、长圆 形或卵形。原产于南美洲，现在我国南方和北方各省份均有栽培，是烟草工业的原料， 还可作为生物学实验中的模式植物。
34	茄子	Solanum  melongena	茄属(属		茄科	Solanaceae		tobacco   necrosis  virus; tobacoo  bushy  top virus; tomato  curl  top  virus; 绒毛烟斑驳病毒; tomato   black ring virus; tomato  leaf  curl  virus; 毒为中国番茄黄化曲叶病毒; velvet tobacco mottle virus; potato   leafroll   virus; 马铃薯卷叶病毒; tomato   bushy  stunt  virus; tomato  infectious  chlorosis  virus		3	番茄又称洋柿子、西红柿， 一年生草本植物，其叶为羽状复叶，其果实表面光滑， 为鲜红色或者橘黄色，肉质，多汁液。番茄原产于南美洲，是世界上最重要的蔬菜作物 之一。我国是番茄的主要生产国，番茄在南方和北方被广泛栽培。番茄果实内含有多种  营养物质，不仅具有清热、生津止渴的作用，还有抗衰老、预防肿瘤、保护视力等作用。
35	辣椒	Capsicum annuum	辣椒属(属		茄科	Solanaceae		辣椒轻斑驳病毒; chilli  veinal   mottle  virus; pepper mottle virus; eggplant mosaic virus; 辣椒脉斑驳病毒; pepper veinal mottle virus; 物杆状病毒科烟草花叶病毒; pepper  mild  mottle  virus		1	辣椒是一年生草本植物，原产于拉丁美洲热带地区，现在全国各地均有栽培。辣椒 是最常见的茄果类蔬菜，含有丰富的维生素C,   同时也有促进食欲、增强消化能力、促 进血液循环等功效。
36	毛酸浆	Physalis philadelphica	洋酸浆属(属		茄科	Solanaceae				1	毛酸浆又名菇莒、洋菇娘等， 一年生草本。作为药食两用植物，毛酸浆具有独特的 风味和价值，成熟浆果口感酸甜可口，味道鲜美，可生食、糖渍、醋渍或做果浆，越来  越多人对其进行深加工，延长产业链，以创造更高的经济效益。此外，毛酸浆主要含黄  酮类、甾体类、苯丙素类、生物碱类、脂肪酸类等多种化学成分，具有抗肿瘤、抗菌、 抗氧化、利尿、免疫抑制等多种药理活性。
37	苘麻	Abutilon  theophrasti	苘麻属(属		锦美科	Malvaceae				0	苘麻别名有椿麻、塘麻、青麻、白麻、车轮草等， 一年生亚灌木草本植物，在全国 各地均有分布，生长于耕地、田边、路旁、荒地，产量居世界首位。 它是常见的农田杂 草，也是被广泛栽培的经济植物。
38	赛葵(种拉丁名： Malvastrum		赛葵属(属		锦美科	Malvaceae		papaya  curl  leaf  Fujian  virus; 南赛葵黄脉病毒; Malvastrum yellow vein   virus; Malvastrum    yellow   vein    Yunnan    virus; 福建番木瓜曲叶病; Malvastrum  leaf  curl   virus	典型脉肿、 曲叶和耳突症状，如图38所示。	0	赛葵又名黄花棉和黄花草等，为多 年生亚灌木草本植物，多散生于干热草 坡，喜温暖湿润的气候，稍耐旱，不耐  寒，宜以疏松而肥沃的土栽培。赛葵原 产于美洲热带地区，因其具有较强的适  应性、繁殖力和扩散力，现已广泛分布 于我国福建、台湾、广东、海南、广西、 云南及四川等南方多个省份。
39	锦葵	Malva  cathayensis	锦葵属(属		锦美科	Malvaceae				1	锦葵别称钱葵、欧锦葵、棋盘花，是锦葵科锦葵属的代表种，二年生或多年生草 本。原产于亚洲、欧洲及北美洲，现成为我国南方和北方各城市常见的栽培植物。它耐 寒、耐干旱，对土壤要求不高，生长势强、抗逆性强，喜阳光充足，绿期3—11月，是 水土保持和栖息地环境保持的优良植物。它的用途大多是在花坛、花境，可作为背景材 料，观赏性极强。此外，锦葵的种子有利湿解毒、润肠通便的功效，其花还可治咽喉
40	蜀葵	Alcea rosea	蜀葵属(属		锦美科	Malvaceae		班加罗尔棉曲叶病毒; hollyhock yellow vein mosaic  virus; 蜀葵黄脉花叶病毒; hollyhock leaf crumple virus		1	蜀葵又名饽饽团子、斗蓬花、栽秧花、棋盘花、麻杆花、 一丈红、淑气、熟季花、 小出气，是一种原产于我国四川地区的多年生草本植物。蜀葵植株高大健壮，花朵大且  鲜艳，色彩丰富多样，常见的有红色、黄色、白色、紫色等，观赏价值极高，可用于园  林、道路绿化及庭院观赏，在我国分布很广，华东、华中、华北均有种植。此外，蜀葵  具有较高的药用价值和食用价值，其花、根均可入药以及食用。
41	朱槿	Hibiscus rosa-sinensis	木槿属(属		锦美科	Malvaceae		我国多地发生朱槿曲叶病; 新疆地区发现朱槿曲叶病		1	朱槿又名状元红、桑槿、大红花、佛桑、扶桑、花叶朱槿，属一年生常绿灌木，花 期长至全年，四季常开，花大色艳，作为重要的园林绿化植物及家庭盆栽花，在我国广 东、云南、台湾、福建、广西、四川等省份被广泛种植。
42	紫苏	Perilla frutescens	紫苏属(属		唇形科	Lamiaceae				1	紫苏别名赤苏、红苏、白苏等，为唇形科紫苏属一年生草本植物，拥有较高的食 用、药用、观赏价值，原产于我国的中南部地区。近些年来紫苏因含有特有的活性物质 及营养成分，成为备受关注的多用途植物，种植面积也随之增大，在国内外市场中的畅 销程度逐年提升。紫苏在我国分布较广，其分布主要集中在东北各省以及河北、山西、 江苏、安徽、湖北、四川、福建、云南、贵州等省。
